kecamatan,gender,latitude,longitude,luas_m2,harga,harga_per_m2
coblong,Kos Putri,-6.894303,107.6066096,9.0,1250000,138888.88888888888
coblong,Kos Campur,-6.877316,107.616017,12.0,2150000,179166.66666666666
coblong,Kos Putri,-6.898539,107.61654,15.0,2400000,160000.0
coblong,Kos Campur,-6.8712521924109,107.61549387127,6.38,1400000,219435.736677116
coblong,Kos Putra,-6.8907834867593,107.6249563694,9.0,950000,105555.55555555556
coblong,Kos Putri,-6.8811332763965,107.61264503002,12.0,1600000,133333.33333333334
coblong,Kos Putra,-6.881438,107.614058,9.0,800000,88888.88888888889
coblong,Kos Campur,-6.890559,107.625911,12.0,900000,75000.0
coblong,Kos Campur,-6.8712521924109,107.61549387127,18.0,2200000,122222.22222222222
coblong,Kos Putri,-6.8802224,107.6138338,16.0,2000000,125000.0
coblong,Kos Putra,-6.887144,107.616493,10.5,1350000,128571.42857142857
coblong,Kos Putra,-6.8796317,107.6096581,10.0,1200000,120000.0
coblong,Kos Campur,-6.890559,107.625911,12.0,1300000,108333.33333333333
sukajadi,Kos Campur,-6.8841786126657,107.59833376855,9.0,650000,72222.22222222222
coblong,Kos Campur,-6.883139,107.62003,12.0,2000000,166666.66666666666
cidadap,Kos Campur,-6.8830369,107.6063603,12.0,800000,66666.66666666667
coblong,Kos Putri,-6.877947,107.613691,20.0,2500000,125000.0
coblong,Kos Campur,-6.872597,107.614004,8.0,1507000,188375.0
coblong,Kos Campur,-6.884225,107.620921,12.0,1600000,133333.33333333334
coblong,Kos Putri,-6.8810567183415,107.61540435255,9.0,2200000,244444.44444444444
coblong,Kos Putra,-6.88631,107.617521,10.56,1800000,170454.54545454544
coblong,Kos Putri,-6.8810988793375,107.61625814953,18.0,2600000,144444.44444444444
cibeunying kaler,Kos Campur,-6.8791148025062,107.62744545937,10.5,1250000,119047.61904761905
cidadap,Kos Putri,-6.8737973,107.6082266,12.0,1200000,100000.0
coblong,Kos Campur,-6.8878217398465,107.62447960675,16.0,2600000,162500.0
coblong,Kos Campur,-6.88575,107.620197,9.0,900000,100000.0
coblong,Kos Campur,-6.8962822080882,107.62222386897,9.0,1000000,111111.11111111111
cibeunying kaler,Kos Campur,-6.8886648643339,107.62789271772,9.0,900000,100000.0
coblong,Kos Putra,-6.890744,107.6280512,12.0,1400000,116666.66666666667
coblong,Kos Campur,-6.8731598,107.6183507,9.0,650000,72222.22222222222
sukajadi,Kos Putri,-6.8929206,107.602113,12.0,970000,80833.33333333333
sukasari,Kos Putri,-6.875176,107.594918,7.5,1200000,160000.0
cidadap,Kos Campur,-6.8762515106792,107.60610211641,12.0,1150000,95833.33333333333
coblong,Kos Campur,-6.8821926885901,107.61904839179,9.0,1330000,147777.77777777778
coblong,Kos Campur,-6.886237150133,107.62042393791,12.0,1564000,130333.33333333333
coblong,Kos Campur,-6.886237150133,107.62042393791,12.0,1897000,158083.33333333334
coblong,Kos Putri,-6.886061,107.618749,9.0,1800000,200000.0
cibeunying kaler,Kos Putra,-6.8912,107.630718,9.0,896200,99577.77777777778
cibeunying kaler,Kos Putra,-6.887501,107.627752,9.0,1300000,144444.44444444444
cibeunying kaler,Kos Putra,-6.8965983,107.6281153,9.0,790000,87777.77777777778
coblong,Kos Campur,-6.8975097589551,107.62078285217,12.0,1750000,145833.33333333334
coblong,Kos Campur,-6.8912455898163,107.62476958867,10.5,1348000,128380.95238095238
coblong,Kos Putra,-6.89332,107.6203,9.899999999999999,729000,73636.36363636365
coblong,Kos Putra,-6.887059,107.619869,9.0,2000000,222222.22222222222
coblong,Kos Putra,-6.8864643495446,107.62505862862,12.0,1750000,145833.33333333334
cibeunying kaler,Kos Putra,-6.8971730404579,107.63218811347,9.0,899000,99888.88888888889
cibeunying kaler,Kos Putra,-6.8971730404579,107.63218811347,16.0,945000,59062.5
cibeunying kaler,Kos Putra,-6.8965983,107.6281153,7.5,745000,99333.33333333333
coblong,Kos Putri,-6.8984660348527,107.61721551418,12.0,1750000,145833.33333333334
coblong,Kos Putri,-6.881059,107.621186,20.0,2200000,110000.0
cibeunying kaler,Kos Putra,-6.8879323,107.6275914,12.0,870000,72500.0
cibeunying kaler,Kos Putra,-6.8965983,107.6281153,10.5,835000,79523.80952380953
coblong,Kos Campur,-6.8912455898163,107.62476958867,10.5,1313000,125047.61904761905
cibeunying kaler,Kos Putra,-6.8889354760209,107.6315921545,12.0,750000,62500.0
coblong,Kos Campur,-6.8871437108948,107.61649265885,16.0,1500000,93750.0
coblong,Kos Putra,-6.881106,107.616536,12.0,825000,68750.0
cimenyan,Kos Putra,-6.888007,107.647313,12.0,1400000,116666.66666666667
cibeunying kidul,Kos Putri,-6.897503,107.644235,7.0,800000,114285.71428571429
cibeunying kaler,Kos Putri,-6.897115,107.633124,12.0,950000,79166.66666666667
cibeunying kidul,Kos Putri,-6.903799,107.643211,4.0,550000,137500.0
coblong,Kos Putra,-6.8865039,107.6189334,9.0,1150000,127777.77777777778
coblong,Kos Campur,-6.880713,107.618652,16.0,1400000,87500.0
