id,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
30,itb,coblong,Kos Putra,-6.875537663,107.6143242,4.5,5,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,3015000,22.5,High,24,11,1,12,22.5
31,itb,cicendo,Kos Campur,-6.902089224,107.5971594,3,2.5,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,746600,7.5,Low,12,0,6,6,7.5
32,itb,coblong,Kos Putri,-6.881059,107.621186,5,4,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,2200000,20,High,23,8,2,13,20
33,itb,coblong,Kos Putra,-6.887059,107.619869,3,3,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,2000000,9,Medium,21,9,2,10,9
34,itb,cibeunying kaler,Kos Putra,-6.8965983,107.6281153,3,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,790000,9,Low,12,1,5,6,9
35,itb,cidadap,Kos Campur,-6.876251511,107.6061021,3,4,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1700000,12,Medium,22,8,3,11,12
36,itb,coblong,Kos Putra,-6.874452885,107.6138927,3,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,817000,9,Low,15,1,6,8,9
37,itb,cibeunying kaler,Kos Putra,-6.8879323,107.6275914,3,4,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1220000,12,Medium,22,7,5,10,12
38,itb,coblong,Kos Putra,-6.882459093,107.6148971,4,3,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1697000,12,Medium,13,7,2,4,12
39,itb,coblong,Kos Putra,-6.8865039,107.6189334,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1150000,9,Medium,11,3,3,5,9
40,itb,cidadap,Kos Campur,-6.876251511,107.6061021,3,4,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1150000,12,Medium,20,4,6,10,12
41,itb,coblong,Kos Putra,-6.880787434,107.6216365,3,3,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,2050000,9,High,19,6,3,10,9
42,itb,cidadap,Kos Putri,-6.875713,107.606609,3,4,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,2200000,12,High,20,8,3,9,12
43,itb,sukajadi,Kos Putri,-6.8929206,107.602113,3,3,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,988000,9,Low,13,2,4,7,9
44,itb,cidadap,Kos Campur,-6.879343812,107.5983649,3,4.5,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2500000,13.5,High,17,8,1,8,13.5
45,itb,sukajadi,Kos Putri,-6.888765,107.597507,3,3,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,600000,9,Low,15,4,5,6,9
46,itb,coblong,Kos Campur,-6.87976,107.613289,3,4,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,2200000,12,High,22,9,3,10,12
47,itb,cibeunying kaler,Kos Putri,-6.880978829,107.6230091,3,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1400000,9,Medium,19,7,2,10,9
48,itb,cidadap,Kos Putra,-6.875661894,107.6039824,4,3,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,935800,12,Low,14,4,3,7,12
49,itb,coblong,Kos Campur,-6.8773927,107.617262,3,4,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1150000,12,Medium,21,6,6,9,12
50,itb,coblong,Kos Campur,-6.89124559,107.6247696,2.5,3,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1150000,7.5,Medium,16,6,2,8,7.5
51,itb,coblong,Kos Campur,-6.888485,107.603845,2.6,4,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,2500000,10.4,High,23,9,2,12,10.4
52,itb,coblong,Kos Putra,-6.890345,107.603484,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,850000,9,Low,10,2,4,4,9
53,itb,bandung wetan,Kos Putra,-6.896868,107.608978,3,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,700000,9,Low,13,1,5,7,9
54,itb,coblong,Kos Campur,-6.87976,107.613289,3,4,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1700000,12,Medium,21,8,3,10,12
55,itb,cidadap,Kos Campur,-6.876251511,107.6061021,3,4,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1750000,12,Medium,23,8,4,11,12
56,itb,coblong,Kos Campur,-6.877393,107.617262,3,3,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1400000,9,Medium,22,8,5,9,9
57,itb,sumur bandung,Kos Putri,-6.908042334,107.6071408,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1100000,9,Medium,10,1,3,6,9
58,itb,cibeunying kaler,Kos Campur,-6.8987146,107.6248681,3,3,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,750000,9,Low,14,4,4,6,9
59,itb,coblong,Kos Putri,-6.873568,107.619891,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1000000,16,Low,14,3,4,7,16
60,itb,sukajadi,Kos Campur,-6.880811,107.593545,2.2,3,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,850000,6.6,Low,14,2,4,8,6.6
61,itb,cicendo,Kos Campur,-6.905774,107.595141,3,4,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1350000,12,Medium,18,3,5,10,12
62,itb,cidadap,Kos Putra,-6.874136485,107.6085188,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,950000,9,Low,15,6,4,5,9
63,itb,coblong,Kos Putri,-6.895836,107.620799,3,4,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1200000,12,Medium,18,4,4,10,12
64,itb,coblong,Kos Putri,-6.875781,107.614036,3,3,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1500000,9,Medium,23,7,2,14,9
65,itb,coblong,Kos Putra,-6.887143,107.618087,4,3.5,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1400000,14,Medium,19,6,3,10,14
66,itb,coblong,Kos Putri,-6.8970114,107.6238426,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1300000,9,Medium,16,6,3,7,9
67,itb,coblong,Kos Putri,-6.876629,107.611883,3,3,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1450000,9,Medium,19,8,2,9,9
68,itb,cidadap,Kos Campur,-6.87764954,107.6068722,3,3,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1600000,9,Medium,18,7,3,8,9
69,itb,coblong,Kos Putri,-6.886142,107.618794,3,3,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,2300000,9,High,26,10,3,13,9
70,itb,sukajadi,Kos Campur,-6.888353,107.59402,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,550000,9,Low,8,1,4,3,9
71,itb,coblong,Kos Campur,-6.897509759,107.6207829,3,4,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1750000,12,Medium,18,7,2,9,12
72,itb,coblong,Kos Putri,-6.88040897,107.6179504,3,3,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1600000,9,Medium,20,9,3,8,9
73,itb,cibeunying kaler,Kos Putri,-6.875991,107.622427,3,4,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1800000,12,Medium,25,9,4,12,12
74,itb,sukajadi,Kos Campur,-6.880811,107.593545,3,2.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,850000,7.5,Low,10,1,5,4,7.5
75,itb,cibeunying kaler,Kos Putra,-6.901616,107.628964,3,4,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1900000,12,Medium,22,9,2,11,12
76,itb,coblong,Kos Putra,-6.888781031,107.61684,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,750000,9,Low,2,1,1,0,9
77,itb,bandung wetan,Kos Campur,-6.8991589,107.604973,2,2,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1100000,4,Medium,14,2,5,7,4
78,itb,coblong,Kos Campur,-6.883981893,107.6184175,4,5,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1800000,20,Medium,25,10,3,12,20
79,itb,coblong,Kos Putri,-6.892614385,107.6192647,3,4,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1100000,12,Medium,19,6,5,8,12
80,itb,sukajadi,Kos Putri,-6.882591206,107.591756,3,4,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,900000,12,Low,15,2,5,8,12
